"Estoy interesado en un préstamo personal.","préstamo"
"Quisiera saber qué tipo de préstamos ofrecéis.","préstamo"
"¿Podría pedir un préstamo para pagar mis estudios?","préstamo"
"No llego a fin de mes. ¿Tiene el banco alguna opción para prestarme dinero?","préstamo"
"Voy a tener que pedir un préstamo para terminar de pagar el coche.","préstamo"
"Solo me quedan tres letras para terminar de pagar mi préstamo.","préstamo"
"¿Qué opciones tengo para pagar mi préstamo de boda?","préstamo"
"Necesito dinero para una urgencia.","préstamo"
"El dentista me ha dicho que tengo que operarme la boca y no sé cómo voy a pagarlo.","préstamo"
"¿Puedo solicitar un préstamo siendo menor de edad?","préstamo"
"¿A partir de qué edad puedo contratar un préstamo personal?","préstamo"
"¿Cuánto dinero puedo solicitar en un préstamo?","préstamo"
"Estoy interesado en solicitar un préstamo y quisiera saber cuáles podrían ser las cuotas.","préstamo"
"Este més no puedo pagar el préstamo. ¿Puedo aplazarlo de alguna forma?","préstamo"
"¿Puedo contratar un préstamo con titularidad compartida?","préstamo"
"¿Cuál es el límite de crédito que tengo?","tarjeta crédito"
"¿Puedo sacar dinero de mi crédito en un cajero?","tarjeta crédito"
"¿Puedo amortizar el crédito usado de mi tarjeta?","tarjeta crédito"
"¿Puedo usar una tarjeta de crédito como otra cualquiera?","tarjeta crédito"
"¿Existe una tarjeta de crédito familiar o algo similar?","tarjeta crédito"
"¿Cómo puedo aumentar el crédito de mi tarjeta?","tarjeta crédito"
"Mi banco me devuelve un 2% de las compras realizadas en gasolineras con mi tarjeta de crédito.","tarjeta crédito"
"¿Puedo usar mi tarjeta fuera de España?","tarjeta crédito"
"¿Puedo hacer compras con mi tarjeta fuera de Europa?","tarjeta crédito"
"¿Qué formas de pago hay disponibles para mi tarjeta de crédito?","tarjeta crédito"
"Tengo un gasto imprevisto. ¿Puedo pagarlo con el crédito de mi tarjeta o es mejor con un préstamo personal?","tarjeta crédito"
"¿Qué tarjetas son mejores para usar en el extranjero?","tarjeta crédito"
"¿Qué ventajas tiene una tarjeta de crédito frente a una de débito?","tarjeta crédito"
"¿Cómo puedo aumentar el crédito de mi tarjeta?","tarjeta crédito"
"¿Puedo comprar por internet con mi tarjeta de crédito?","tarjeta crédito"
"¿Tengo que pagar el mantenimiento de mi cuenta corriente?","cuenta"
"¿Cuál es la diferencia entre una cuenta de ahorro y una cuenta corriente?","cuenta"
"¿Son grauitas las transferencias desde mi cuenta bancaria?","cuenta"
"Mi banco me devuelve un 3% de todos los recibos domiciliados en mi cuenta.","cuenta"
"¿Puedo pasar dinero desde el crédito de mi tarjeta a mi cuenta bancaria?","cuenta"
"Tengo un cargo en mi cuenta que no sé qué es.","cuenta"
"Quiero dar de baja mi cuenta bancaria.","cuenta"
"¿Existe algún tipo de cuenta que no requiera asociar la nómina?","cuenta"
"¿Hay algún límite de cuentas por cliente?","cuenta"
"Tengo un hijo adolescente y quiero abrirle una cuenta corriente. ¿Hay alguna cuenta infantil o similar?","cuenta"
"¿Puedo tener más de un titular en la misma cuenta? Quiero compartirla con mi pareja.","cuenta"
"Mi cuenta está en números rojos. ¿Cómo puedo solucionarlo?","cuenta"
"Estoy en rojos este mes. ¿Cuánto me cobra el banco por cada día que tenga la cuenta con este descubierto?","cuenta"
"Tengo el borrador de hacienda y aparece en mis datos fiscales un número de cuenta que cerré hace años. ¿Por qué puede ser esto?","cuenta"
"¿Hasta qué edad puedo abrirme una cuenta joven?","cuenta"
"Me acabo de comprar un coche y necesito un seguro.","seguro"
"¿Mi seguro cubre también al acompañante o también al conductor?","seguro"
"Tengo el carnet de conducir recién sacado. ¿Qué documentación necesito llevar en el coche?","seguro"
"Mi hermano me ha vendido su moto. ¿Su seguro me cubre o tengo que cambiar la titularidad?","seguro"
"¿Qué tipo de seguros hay me ofrecéis?","seguro"
"Mi abuela falleció hace unos días y tenía contratado un seguro de vida. ¿Cómo debemos proceder?","seguro"
"Mi padre se ha comprado un yate con el dinero de la lotería. ¿Qué tipo de seguro debo contratar?","seguro"
"Voy a montar una empresa de transporte de personas. ¿Tengo que contratar algún seguro de responsabilidad civil o similar?","seguro"
"¿Qué ocurre si tengo un accidente con el coche y mi seguro está vencido.","seguro"
"¿Puedo extender mi seguro de coche para que aplique también a mi moto?","seguro"
"¿Puedo contratar algún tipo de seguro para mi ordenador?","seguro"
"La casa de mi tía tiene humedades. ¿El seguro de hogar le cubre el arreglo?","seguro"
"Necesito un seguro dental para operarme. ¿Qué necesito?","seguro"
"Mi seguro médico, ¿tiene algún periodo de carencia?","seguro"
"Con mi seguro médico, ¿tengo que abonar algún copago en las consultas al médico de cabecera?","seguro"
